delay,freq,condition,textbox.text,,,
0.4,1000,exp,800,,803.7777778,
0.1,1000,exp,800,,,
0.7,1000,exp,800,,,570.4444778
0.1,1000,exp,850,,,
0.7,1000,exp,700,,,
0.4,1000,exp,800,,,
0.1,1000,exp,900,,,
0.4,1000,exp,800,,,
0.7,1000,exp,700,,,
0.4,1000,exp,800,,,
0.7,1000,exp,850,,,
0.1,1000,exp,500,,,
0.4,1000,exp,300,,,
0.7,1000,exp,250,,,
0.1,1000,exp,600,,,
0.1,1000,exp,600,,,
0.7,1000,exp,700,,,
0.4,1000,exp,800,,,
0.7,1000,exp,900,,,
0.1,1000,exp,900,,,
0.4,1000,exp,850,,,
0.4,1000,exp,900,,,
0.1,1000,exp,900,,,
0.4,1000,exp,800,,,
0.1,1000,exp,700,,,
0.7,1000,exp,900,,,
0.7,1000,exp,900,,,
0.4,1000,exp,900,,,
0.7,1000,exp,900,,,
0.1,1000,exp,900,,,
0.7,1000,exp,900,,,
0.4,1000,exp,700,,,
0.4,1000,exp,750,,,
0.1,1000,exp,900,,,
0.1,1000,exp,850,,,
0.7,1000,exp,900,,,
0.7,1000,exp,870,,,
0.7,1000,exp,900,,,
0.1,1000,exp,900,,,
0.1,1000,exp,850,,,
0.4,1000,exp,900,,,
0.4,1000,exp,900,,,
0.4,1000,exp,950,,,
0.1,1000,exp,950,,,
0.7,1000,exp,950,,,
